Name,Year,Quarter,Cash and Due from Banks,Goodwill,Income Before Tax,Interest Income,Loans,Net Income,Net Interest Income,Net Loans,Non-Interest Income,Retained Earnings,Tax Expense,Total Assets,Total Liabilities,Total Stockholders Equity,Interest_Rate,Stock_Price
ISTR,2020,Mar. 31,26.6,32.2,14.7,17.3,1729.8,0.6,17.3,1715.6,1.1,60.1,0.8,2199.4,1966.1,233.3,0.125,11.626
ISTR,2020,Jun. 30,31.7,32.7,19.8,18.3,1813.9,4.3,18.3,1797.3,3.9,63.8,5.3,2359.4,2122.7,236.7,0.125,13.266
ISTR,2020,Sep. 30,32.9,32.5,19.6,18.7,1829.7,4.5,18.7,1810.6,3.4,67.5,5.6,2323.2,2086.0,237.3,0.125,11.776
ISTR,2020,Dec. 31,25.7,32.2,20.4,19.2,1691.0,4.5,19.2,1681.3,3.7,71.4,5.6,2321.2,2077.9,243.3,0.125,15.27
ISTR,2021,Mar. 31,30.0,32.0,21.6,19.6,1846.0,5.4,19.6,1825.5,2.4,76.0,6.8,2408.0,2159.7,248.3,0.125,19.045
ISTR,2021,Jun. 30,36.8,44.0,25.1,21.2,1947.8,5.7,21.2,1927.4,4.1,80.9,7.2,2672.9,2422.2,250.7,0.125,21.285
ISTR,2021,Sep. 30,45.4,44.3,3.7,21.5,1880.7,-10.0,21.5,1860.1,3.9,70.1,-12.6,2696.0,2459.7,236.3,0.125,20.549
ISTR,2021,Dec. 31,38.6,44.0,22.6,21.5,1860.3,6.9,21.5,1840.0,1.6,76.2,8.5,2513.2,2270.6,242.6,0.125,17.243
ISTR,2022,Mar. 31,45.7,43.8,28.1,21.8,1877.4,10.1,21.8,1856.4,5.9,85.4,12.7,2572.7,2339.1,233.7,0.375,17.958
ISTR,2022,Jun. 30,31.6,43.6,27.4,22.0,1916.4,9.4,22.0,1894.4,6.4,93.9,11.9,2590.6,2371.2,219.4,1.625,20.694
ISTR,2022,Sep. 30,31.7,43.4,25.0,23.5,2005.7,7.3,23.5,1982.5,2.7,100.2,9.0,2661.7,2456.0,205.7,3.125,18.882
ISTR,2022,Dec. 31,30.1,43.1,24.7,22.5,2104.8,8.9,22.5,2080.4,3.4,108.2,10.7,2753.8,2538.0,215.8,4.375,20.526
ISTR,2023,Mar. 31,30.6,42.9,20.9,20.2,2109.0,3.8,20.2,2078.5,1.1,106.8,4.7,2751.7,2533.2,218.5,4.875,13.368
ISTR,2023,Jun. 30,34.7,42.7,23.3,18.4,2084.9,6.5,18.4,2054.8,2.1,112.3,8.1,2753.7,2535.3,218.4,5.125,11.671
ISTR,2023,Sep. 30,27.1,42.5,19.1,17.5,2103.0,2.8,17.5,2073.2,1.6,114.1,3.4,2789.5,2580.8,208.7,5.375,10.292
ISTR,2023,Dec. 31,28.3,42.3,19.8,18.4,2210.6,3.6,18.4,2180.1,1.7,116.7,4.2,2815.2,2588.4,226.8,5.375,14.625
ISTR,2024,Mar. 31,18.1,42.2,21.4,17.2,2180.6,4.7,17.2,2151.5,2.7,120.4,6.1,2787.7,2560.7,227.0,5.375,16.155
MBWM,2018,Mar. 31,47.3,49.5,13.4,35.0,2551.2,10.9,30.2,2531.2,4.4,68.2,13.4,3293.9,2925.6,368.3,1.625,25.476
MBWM,2018,Jun. 30,56.3,49.5,11.7,34.3,2636.9,9.4,29.2,2615.7,4.5,74.1,11.7,3288.5,2913.6,374.9,1.875,28.493
MBWM,2018,Sep. 30,51.8,49.5,12.5,35.5,2697.4,10.1,29.8,2675.7,4.7,80.3,12.5,3300.1,2920.6,379.5,2.125,25.877
MBWM,2018,Dec. 31,64.9,49.5,14.2,37.2,2753.1,11.6,30.9,2730.7,5.4,75.5,14.2,3363.9,2988.7,375.2,2.375,22.067
MBWM,2019,Mar. 31,46.3,49.5,14.6,38.6,2799.6,11.8,30.6,2776.5,6.6,83.1,14.6,3551.8,3168.0,383.7,2.375,26.44
MBWM,2019,Jun. 30,57.7,49.5,14.5,39.8,2881.5,11.7,31.1,2857.4,6.3,90.6,14.5,3576.1,3176.0,400.1,2.375,26.531
MBWM,2019,Sep. 30,84.3,49.5,15.6,40.3,2933.0,12.6,31.6,2908.6,6.7,98.9,15.6,3710.4,3303.2,407.2,1.875,26.931
MBWM,2019,Dec. 31,53.3,49.5,15.8,39.6,2856.7,13.4,31.2,2832.8,7.4,107.8,15.8,3632.9,3216.4,416.6,1.625,30.212
